"Subject","Start Date","Start Time","End Date","End Time","Description","Location"
"SonarClub - Santos Bacana",,,,,"https://sonar.es/en/2022/artists/santos-bacana","SonarClub"
"SonarExtra - Hyperorgan in collaboration with Palau Guell","16.06.2022","10:00","16.06.2022","20:00","https://sonar.es/en/2022/artists/hyperorgan-in-collaboration-with-palau-guell","SonarExtra"
"SonarExtra - Sondear by Mika Vainio","16.06.2022","10:00","16.06.2022","19:00","https://sonar.es/en/2022/artists/sondear-by-mika-vainio","SonarExtra"
"SonarExtra - Museum of Sound listening experience by Mika Vainio","16.06.2022","10:00","16.06.2022","19:00","https://sonar.es/en/2022/artists/museum-of-sound-listening-experience-by-mika-vainio","SonarExtra"
"SonarExtra - Hyperorgan in collaboration with Palau Guell","16.06.2022","10:00","16.06.2022","20:00","https://sonar.es/en/2022/artists/hyperorgan-in-collaboration-with-palau-guell","SonarExtra"
"SonarExtra - Museum of Sound listening experience by Mika Vainio","16.06.2022","10:00","16.06.2022","19:00","https://sonar.es/en/2022/artists/museum-of-sound-listening-experience-by-mika-vainio","SonarExtra"
"SonarExtra - Sondear by Mika Vainio","16.06.2022","10:00","16.06.2022","19:00","https://sonar.es/en/2022/artists/sondear-by-mika-vainio","SonarExtra"
"SonarExtra - Museum of Sound listening experience by Mika Vainio","16.06.2022","10:00","16.06.2022","19:00","https://sonar.es/en/2022/artists/museum-of-sound-listening-experience-by-mika-vainio","SonarExtra"
"SonarExtra - Hyperorgan in collaboration with Palau Guell","16.06.2022","10:00","16.06.2022","20:00","https://sonar.es/en/2022/artists/hyperorgan-in-collaboration-with-palau-guell","SonarExtra"
"SonarExtra - Sondear by Mika Vainio","16.06.2022","10:00","16.06.2022","19:00","https://sonar.es/en/2022/artists/sondear-by-mika-vainio","SonarExtra"
"SonarExtra - Quayola: ‘Transient’ Installation, presented by ME by Melia","16.06.2022","12:00","16.06.2022","22:00","https://sonar.es/en/2022/artists/quayola-transient-installation-presented-by-me-by-melia","SonarExtra"
"SonarExtra - Quayola: ‘Transient’ Installation, presented by ME by Melia","16.06.2022","12:00","16.06.2022","22:00","https://sonar.es/en/2022/artists/quayola-transient-installation-presented-by-me-by-melia","SonarExtra"
"SonarExtra - Quayola: ‘Transient’ Installation, presented by ME by Melia","16.06.2022","12:00","16.06.2022","22:00","https://sonar.es/en/2022/artists/quayola-transient-installation-presented-by-me-by-melia","SonarExtra"
